FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SHAPE_Length,SHAPE_Area
20,42,003,465800,1,420034658001,Block Group 1,G5030,S,586955,0,+40.4323757,-080.0624340,0.044263045774137,6.22942355000332e-05
21,42,003,469000,1,420034690001,Block Group 1,G5030,S,585917,0,+40.4163718,-080.0437178,0.0564984122852662,6.2165405999943e-05
22,42,003,562600,2,420035626002,Block Group 2,G5030,S,579279,0,+40.4400200,-080.0409698,0.0366667984167172,6.14864014999566e-05
23,42,003,980700,1,420039807001,Block Group 1,G5030,S,621462,417415,+40.4367678,-080.0105440,0.0761912479812812,0.000110265489000135
24,42,003,562700,1,420035627001,Block Group 1,G5030,S,374704,0,+40.4507824,-080.0144011,0.0284914535287723,3.97785735000584e-05
25,42,003,261500,2,420032615002,Block Group 2,G5030,S,784926,0,+40.4698626,-080.0193109,0.050204248721274,8.33508119999821e-05
26,42,003,070900,3,420030709003,Block Group 3,G5030,S,220502,0,+40.4489269,-079.9431401,0.0212311793823612,2.34076599999259e-05
27,42,003,980600,1,420039806001,Block Group 1,G5030,S,983079,473793,+40.4517918,-080.0280402,0.0665685327122594,0.000154664269999921
28,42,003,561600,1,420035616001,Block Group 1,G5030,S,294185,0,+40.4168801,-079.9615214,0.028118788399595,3.12149614999604e-05
29,42,003,140100,3,420031401003,Block Group 3,G5030,S,291301,0,+40.4427301,-079.9435821,0.0270497264323632,3.09206695000305e-05
30,42,003,426800,3,420034268003,Block Group 3,G5030,S,1453580,0,+40.5347326,-079.9462765,0.0636720573535274,0.000154501916500079
31,42,003,151700,3,420031517003,Block Group 3,G5030,S,163396,0,+40.4225130,-079.9385272,0.0189336928661577,1.7339137999928e-05
32,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178,0,+40.4216327,-079.9353993,0.017979853070115,1.66787415000146e-05
33,42,003,160900,2,420031609002,Block Group 2,G5030,S,838893,282865,+40.4217339,-079.9608102,0.0744949743874245,0.000119035811500142
34,42,003,170200,1,420031702001,Block Group 1,G5030,S,405632,80841,+40.4302552,-079.9917411,0.0418054902453341,5.16279724999395e-05
35,42,003,170200,3,420031702003,Block Group 3,G5030,S,179690,0,+40.4272715,-079.9852076,0.0183577111170029,1.90693810000285e-05
36,42,003,170600,1,420031706001,Block Group 1,G5030,S,326814,0,+40.4248946,-079.9875965,0.0476536452327774,3.46812250000781e-05
37,42,003,170600,2,420031706002,Block Group 2,G5030,S,187620,0,+40.4235171,-079.9803391,0.0390475390072782,1.99099909999848e-05
38,42,003,180700,3,420031807003,Block Group 3,G5030,S,136739,0,+40.4228314,-080.0010209,0.0193965873820174,1.45104444999905e-05
39,42,003,190300,1,420031903001,Block Group 1,G5030,S,446914,0,+40.4347477,-080.0137486,0.0487010085272301,4.74329584999266e-05
40,42,003,191600,2,420031916002,Block Group 2,G5030,S,494963,0,+40.4138310,-080.0172406,0.0384387815682765,5.25164899999543e-05
41,42,003,191600,5,420031916005,Block Group 5,G5030,S,420289,0,+40.4122301,-080.0279441,0.0302810738746829,4.45925145000449e-05
42,42,003,191700,1,420031917001,Block Group 1,G5030,S,1473614,0,+40.4043681,-080.0109266,0.0777731688107251,0.000156332066499951
43,42,003,191700,2,420031917002,Block Group 2,G5030,S,148228,0,+40.4002650,-080.0189985,0.0232630544832639,1.57241095000977e-05
44,42,003,191700,3,420031917003,Block Group 3,G5030,S,243293,0,+40.4029550,-080.0186572,0.0241063273181216,2.58096765000264e-05
45,42,003,191800,2,420031918002,Block Group 2,G5030,S,151177,0,+40.3905048,-080.0228446,0.0174073130609327,1.60345695000727e-05
46,42,003,191800,4,420031918004,Block Group 4,G5030,S,208766,0,+40.3935062,-080.0262803,0.0239859021685777,2.21439405000567e-05
47,42,003,191800,5,420031918005,Block Group 5,G5030,S,262285,0,+40.3846477,-080.0129263,0.0360722917940129,2.78172035000126e-05
48,42,003,191800,6,420031918006,Block Group 6,G5030,S,313952,0,+40.3860640,-080.0092899,0.0288428902584697,3.32975289999103e-05
49,42,003,191800,7,420031918007,Block Group 7,G5030,S,176569,0,+40.3900890,-080.0122440,0.0227596817044156,1.87279070000647e-05
50,42,003,191900,1,420031919001,Block Group 1,G5030,S,209525,0,+40.3973803,-080.0201213,0.0286687673581161,2.22260964999941e-05
51,42,003,191900,2,420031919002,Block Group 2,G5030,S,184543,0,+40.3946814,-080.0190010,0.0295205066702078,1.95750364999802e-05
52,42,003,191900,3,420031919003,Block Group 3,G5030,S,214716,0,+40.3963773,-080.0268836,0.0209810656158616,2.27761430000417e-05
53,42,003,240600,1,420032406001,Block Group 1,G5030,S,725793,327614,+40.4655552,-079.9771792,0.0690497261759403,0.000111849365999811
54,42,003,240600,2,420032406002,Block Group 2,G5030,S,499712,0,+40.4611962,-079.9859550,0.0456702271671547,5.30573375000428e-05
55,42,003,241200,1,420032412001,Block Group 1,G5030,S,510111,0,+40.4714234,-079.9884347,0.0499462066993966,5.41695789999914e-05
56,42,003,010300,2,420030103002,Block Group 2,G5030,S,275341,0,+40.4368941,-079.9904722,0.0224312564030517,2.92240740000464e-05
57,42,003,526101,3,420035261013,Block Group 3,G5030,S,2447593,0,+40.5207102,-079.7794794,0.0683474969613787,0.000260102309500058
58,42,003,413500,2,420034135002,Block Group 2,G5030,S,2611378,0,+40.5792746,-080.0203257,0.092084582130089,0.00027774685150015
59,42,003,402000,2,420034020002,Block Group 2,G5030,S,221677,0,+40.6092686,-079.7385631,0.0200242906820867,2.35881049999652e-05
60,42,003,521401,1,420035214011,Block Group 1,G5030,S,5322931,0,+40.4253890,-079.7378701,0.126788589767271,0.000564870969500036
61,42,003,191800,1,420031918001,Block Group 1,G5030,S,150492,0,+40.3922903,-080.0203908,0.0175787761749933,1.5962636499983e-05
62,42,003,427100,2,420034271002,Block Group 2,G5030,S,1600635,0,+40.5285238,-079.9808340,0.0712633027531324,0.000170116695499808
63,42,003,080600,2,420030806002,Block Group 2,G5030,S,170535,0,+40.4582793,-079.9397404,0.0192976949947378,1.81059689999406e-05
64,42,003,523300,2,420035233002,Block Group 2,G5030,S,1340452,0,+40.4739600,-079.8329084,0.0893135141927117,0.000142350484500086
65,42,003,140300,2,420031403002,Block Group 2,G5030,S,288793,0,+40.4403396,-079.9159619,0.0230363314549577,3.06534325001005e-05
66,42,003,160800,2,420031608002,Block Group 2,G5030,S,234468,0,+40.4216155,-079.9656446,0.0300592786522694,2.48803714999763e-05
67,42,003,160800,3,420031608003,Block Group 3,G5030,S,252787,0,+40.4192564,-079.9687826,0.0285645804118925,2.68234169999778e-05
68,42,003,160800,4,420031608004,Block Group 4,G5030,S,419751,0,+40.4209328,-079.9756047,0.029664150424818,4.45409799999639e-05
69,42,003,160900,1,420031609001,Block Group 1,G5030,S,406004,160733,+40.4295398,-079.9691602,0.040291294653004,6.01454940000094e-05
70,42,003,180300,1,420031803001,Block Group 1,G5030,S,474087,0,+40.4247707,-079.9943898,0.0439067177316802,5.03096784999114e-05
71,42,003,180300,2,420031803002,Block Group 2,G5030,S,155010,0,+40.4208932,-079.9928103,0.0219081406753802,1.64485630000393e-05
72,42,003,180300,3,420031803003,Block Group 3,G5030,S,140209,0,+40.4191906,-079.9927424,0.0216555952642293,1.48777600000257e-05
73,42,003,170600,3,420031706003,Block Group 3,G5030,S,321391,0,+40.4197333,-079.9840521,0.0291137684821326,3.41031640000081e-05
74,42,003,180700,2,420031807002,Block Group 2,G5030,S,128060,0,+40.4247086,-080.0011285,0.0187846263019629,1.35896715000203e-05
75,42,003,190300,2,420031903002,Block Group 2,G5030,S,333956,0,+40.4300724,-080.0162068,0.0307876360201534,3.54420029999567e-05
76,42,003,191100,2,420031911002,Block Group 2,G5030,S,892909,0,+40.4386190,-080.0261412,0.0448462354972009,9.47736510000543e-05
77,42,003,191400,1,420031914001,Block Group 1,G5030,S,380337,0,+40.4292006,-080.0064807,0.0428358510894195,4.03635720000183e-05
78,42,003,260900,1,420032609001,Block Group 1,G5030,S,812804,0,+40.4776336,-080.0025962,0.0432052302941501,8.63206559999003e-05
79,42,003,261200,1,420032612001,Block Group 1,G5030,S,1054086,0,+40.4922379,-080.0081098,0.0632389575954065,0.000111969479999924
80,42,003,261400,2,420032614002,Block Group 2,G5030,S,353592,0,+40.4619992,-080.0134962,0.0282240807231984,3.75430380001247e-05
81,42,003,270100,1,420032701001,Block Group 1,G5030,S,435462,0,+40.4845890,-080.0396191,0.0344617915307205,4.62514620000576e-05
82,42,003,270100,2,420032701002,Block Group 2,G5030,S,604333,131921,+40.4824127,-080.0461620,0.0366706444998086,7.81966304999868e-05
83,42,003,270300,1,420032703001,Block Group 1,G5030,S,386786,0,+40.4783520,-080.0351779,0.0300641745765577,4.10776529999626e-05
84,42,003,270800,1,420032708001,Block Group 1,G5030,S,320821,0,+40.4883995,-080.0376363,0.0274601602942535,3.40770204999785e-05
85,42,003,480400,1,420034804001,Block Group 1,G5030,S,1346887,0,+40.3872262,-079.9510735,0.0805774744106378,0.000142852282499883
86,42,003,492700,2,420034927002,Block Group 2,G5030,S,1234518,7390,+40.3012183,-079.8826541,0.0699743967693465,0.000131552945999898
87,42,003,270800,2,420032708002,Block Group 2,G5030,S,316228,0,+40.4811678,-080.0308312,0.0401369954276659,3.35856464999412e-05
88,42,003,563800,3,420035638003,Block Group 3,G5030,S,2123349,435641,+40.5223260,-080.1402815,0.0802858154128051,0.000271940692500051
89,42,003,271500,1,420032715001,Block Group 1,G5030,S,658971,0,+40.4750762,-080.0239774,0.0554630221311207,6.99811144998588e-05
90,42,003,271500,2,420032715002,Block Group 2,G5030,S,346314,0,+40.4706226,-080.0297333,0.0386355083582394,3.6775435999989e-05
91,42,003,271500,3,420032715003,Block Group 3,G5030,S,388516,0,+40.4716727,-080.0340732,0.0364873736135016,4.1256918500014e-05
92,42,003,290200,5,420032902005,Block Group 5,G5030,S,252784,0,+40.4039349,-079.9878790,0.0273660164519924,2.68172334999784e-05
93,42,003,310200,1,420033102001,Block Group 1,G5030,S,287589,0,+40.3771407,-079.9121875,0.0285481719655594,3.04972479999509e-05
94,42,003,310200,2,420033102002,Block Group 2,G5030,S,603128,0,+40.3680699,-079.9062776,0.0387432981209039,6.39502085001027e-05
95,42,003,310300,1,420033103001,Block Group 1,G5030,S,2046497,0,+40.3879253,-079.9225468,0.0711831160833031,0.00021705593050013
96,42,003,320400,1,420033204001,Block Group 1,G5030,S,487671,0,+40.3813307,-079.9903225,0.032943173261868,5.17182805000656e-05
97,42,003,320400,2,420033204002,Block Group 2,G5030,S,169754,0,+40.3870149,-079.9933934,0.0226809430748088,1.80045340000144e-05
98,42,003,320400,3,420033204003,Block Group 3,G5030,S,192355,0,+40.3912000,-079.9952262,0.0309533667267984,2.04024899998943e-05
99,42,003,320600,1,420033206001,Block Group 1,G5030,S,659247,0,+40.3971367,-080.0068195,0.0501596098538858,6.99305939999292e-05
100,42,003,496102,3,420034961023,Block Group 3,G5030,S,18600248,278108,+40.2340767,-079.8370547,0.277822596122868,0.00199779778250022
101,42,003,552300,1,420035523001,Block Group 1,G5030,S,202684,0,+40.3431384,-079.8527817,0.0219761233356185,2.14832434999501e-05
102,42,003,401200,1,420034012001,Block Group 1,G5030,S,435138,346621,+40.6139148,-079.7207930,0.0667039097658919,8.31906465000262e-05
103,42,003,401200,2,420034012002,Block Group 2,G5030,S,1066234,0,+40.6198289,-079.7238406,0.0535443124739078,0.000113472861000089
104,42,003,401200,3,420034012003,Block Group 3,G5030,S,630097,0,+40.6094335,-079.7277694,0.043956902981901,6.70471289998622e-05
105,42,003,401200,4,420034012004,Block Group 4,G5030,S,487189,0,+40.6137348,-079.7333005,0.0325963734621198,5.18439205000195e-05
106,42,003,401300,1,420034013001,Block Group 1,G5030,S,510541,0,+40.6248785,-079.7275937,0.0385155311769018,5.43374839999211e-05
107,42,003,407001,1,420034070011,Block Group 1,G5030,S,10829517,12854,+40.6459554,-079.8241585,0.153352587758377,0.00115424048649977
108,42,003,407001,3,420034070013,Block Group 3,G5030,S,14090963,0,+40.6485528,-079.8702722,0.214136916427648,0.00150024824149989
109,42,003,407002,4,420034070024,Block Group 4,G5030,S,5325453,0,+40.6066924,-079.9073059,0.106777688076334,0.000566645982500332
110,42,003,408001,1,420034080011,Block Group 1,G5030,S,3841224,0,+40.6487536,-079.9303572,0.0914496777002987,0.000408971951999929
111,42,003,408002,1,420034080021,Block Group 1,G5030,S,3813747,0,+40.6249079,-079.9318120,0.0919213634218823,0.000405903542499945
112,42,003,408002,2,420034080022,Block Group 2,G5030,S,7853281,0,+40.6237483,-079.9662359,0.137191905984256,0.000835824584500152
113,42,003,020300,1,420030203001,Block Group 1,G5030,S,1594790,326537,+40.4544996,-079.9812762,0.0796281175958671,0.00020397842250008
114,42,003,030500,1,420030305001,Block Group 1,G5030,S,383189,0,+40.4444333,-079.9856242,0.033520466042739,4.06754490000848e-05
115,42,003,030500,2,420030305002,Block Group 2,G5030,S,285120,0,+40.4403846,-079.9813364,0.0278606286091776,3.02636629999591e-05
116,42,003,050600,1,420030506001,Block Group 1,G5030,S,391440,6849,+40.4553953,-079.9580440,0.033125020938255,4.22850914999745e-05
117,42,003,429300,3,420034293003,Block Group 3,G5030,S,2819862,0,+40.5261271,-080.0533802,0.0762238219758567,0.000299687158000045
118,42,003,429300,4,420034293004,Block Group 4,G5030,S,1977862,0,+40.5423819,-080.0584103,0.0625514969196394,0.000210251629499958
119,42,003,429400,1,420034294001,Block Group 1,G5030,S,650319,0,+40.5448426,-080.0331461,0.0492562006544089,6.9133343500019e-05
120,42,003,429400,2,420034294002,Block Group 2,G5030,S,1135613,0,+40.5355385,-080.0292752,0.051761803595707,0.000120706191000049
121,42,003,429400,3,420034294003,Block Group 3,G5030,S,966744,0,+40.5272300,-080.0283168,0.0470805986887633,0.000102744061499949
122,42,003,429400,4,420034294004,Block Group 4,G5030,S,805685,0,+40.5258085,-080.0197598,0.0496361299110574,8.56255064998697e-05
123,42,003,429500,1,420034295001,Block Group 1,G5030,S,1377091,0,+40.5488728,-080.0263034,0.0513237241143425,0.000146401701000193
124,42,003,429500,2,420034295002,Block Group 2,G5030,S,1152163,0,+40.5395930,-080.0178856,0.054444998986781,0.000122472609499904
125,42,003,429600,2,420034296002,Block Group 2,G5030,S,819310,0,+40.5024531,-080.0448893,0.0522801409215408,8.70437089998874e-05
126,42,003,429700,2,420034297002,Block Group 2,G5030,S,1075338,0,+40.4945372,-080.0390436,0.0709561594558536,0.000114230950500099
127,42,003,430100,1,420034301001,Block Group 1,G5030,S,289411,0,+40.5162913,-080.0217937,0.0300061344822935,3.07534245001418e-05
128,42,003,562600,1,420035626001,Block Group 1,G5030,S,503824,0,+40.4409220,-080.0357065,0.0594033595482129,5.34753030000051e-05
129,42,003,562400,2,420035624002,Block Group 2,G5030,S,510554,0,+40.4142565,-080.0039647,0.0432957392292654,5.41714964999687e-05
130,42,003,430100,2,420034301002,Block Group 2,G5030,S,565338,0,+40.5137150,-080.0262624,0.0342923310228463,6.00714764999315e-05
131,42,003,430200,1,420034302001,Block Group 1,G5030,S,339715,0,+40.5245143,-080.0374833,0.0310690193608756,3.61032185002354e-05
132,42,003,430200,2,420034302002,Block Group 2,G5030,S,645306,0,+40.5216463,-080.0291088,0.0604506866808128,6.85741639999644e-05
133,42,003,430200,3,420034302003,Block Group 3,G5030,S,281741,0,+40.5201929,-080.0364157,0.0271602591950919,2.99399169998728e-05
134,42,003,430200,4,420034302004,Block Group 4,G5030,S,241658,0,+40.5198454,-080.0439205,0.0246539093469803,2.56804080000408e-05
135,42,003,562900,1,420035629001,Block Group 1,G5030,S,1442950,586256,+40.4081322,-079.9478287,0.0959729860378532,0.000215296166499938
136,42,003,430200,5,420034302005,Block Group 5,G5030,S,251948,0,+40.5161691,-080.0448613,0.0220466233862679,2.67723794999733e-05
137,42,003,561900,2,420035619002,Block Group 2,G5030,S,652898,0,+40.4670321,-079.8924785,0.0361507832863339,6.93277024999271e-05
138,42,003,563200,3,420035632003,Block Group 3,G5030,S,314335,0,+40.4572570,-079.9976554,0.0370598125052435,3.3373539500091e-05
139,42,003,020100,6,420030201006,Block Group 6,G5030,S,219023,62767,+40.4454007,-079.9971407,0.0279381087570839,2.99125130000079e-05
140,42,003,981800,1,420039818001,Block Group 1,G5030,S,1822889,310071,+40.4774936,-079.8964980,0.0684007888900826,0.00022653039249989
141,42,003,564200,1,420035642001,Block Group 1,G5030,S,2276526,234569,+40.3055645,-079.7947739,0.0909512915304847,0.00026600423400015
142,42,003,463900,3,420034639003,Block Group 3,G5030,S,172211,0,+40.4674641,-080.0676837,0.0215084117005611,1.8286305500034e-05
143,42,003,562500,1,420035625001,Block Group 1,G5030,S,602809,225010,+40.4627464,-080.0508428,0.0874912706641987,8.7893385999957e-05
144,42,003,564100,2,420035641002,Block Group 2,G5030,S,1126902,0,+40.4345251,-080.0841466,0.0485923539237051,0.000119602985999975
145,42,003,462600,3,420034626003,Block Group 3,G5030,S,169033,0,+40.4741513,-080.0792736,0.0238518302686239,1.79505960000379e-05
146,42,003,980000,1,420039800001,Block Group 1,G5030,S,637327,237263,+40.4875663,-079.8908303,0.0482473056682867,9.2898508999854e-05
147,42,003,562000,2,420035620002,Block Group 2,G5030,S,269260,0,+40.4552764,-079.9531574,0.0274466696479758,2.85866640000181e-05
148,42,003,151600,2,420031516002,Block Group 2,G5030,S,434767,0,+40.4267884,-079.9459956,0.0388646849824183,4.61385525000993e-05
149,42,003,477300,4,420034773004,Block Group 4,G5030,S,720429,0,+40.3562720,-079.9761826,0.0434388631276189,7.63749310000266e-05
150,42,003,478200,1,420034782001,Block Group 1,G5030,S,517005,0,+40.3652298,-079.9783264,0.0395743786735571,5.48167930000032e-05
151,42,003,478200,3,420034782003,Block Group 3,G5030,S,476192,0,+40.3821476,-079.9724230,0.0326822478083844,5.05016155000022e-05
152,42,003,486900,1,420034869001,Block Group 1,G5030,S,300305,0,+40.3641127,-079.8526475,0.0298067228152238,3.18402409999235e-05
153,42,003,486900,2,420034869002,Block Group 2,G5030,S,407055,0,+40.3659102,-079.8457625,0.0390751307376455,4.31593479999987e-05
154,42,003,486900,3,420034869003,Block Group 3,G5030,S,227544,40752,+40.3617077,-079.8465996,0.0301822408991407,2.84451810000164e-05
155,42,003,487000,1,420034870001,Block Group 1,G5030,S,1021818,0,+40.3549635,-079.8882570,0.0564935261417418,0.000108324030000078
156,42,003,488100,2,420034881002,Block Group 2,G5030,S,619908,0,+40.3851706,-079.8839243,0.0485955941844588,6.57459730000081e-05
157,42,003,488200,2,420034882002,Block Group 2,G5030,S,847476,0,+40.3853391,-079.8717377,0.0532314899204519,8.98815194998293e-05
158,42,003,488200,3,420034882003,Block Group 3,G5030,S,590393,0,+40.3924893,-079.8817455,0.0395208709395779,6.26223439999068e-05
159,42,003,488400,1,420034884001,Block Group 1,G5030,S,1104999,0,+40.3698518,-079.8660088,0.0462289448152251,0.000117167575999911
160,42,003,250900,1,420032509001,Block Group 1,G5030,S,258947,0,+40.4608171,-080.0047735,0.0303046285516681,2.74938029999395e-05
161,42,003,261400,4,420032614004,Block Group 4,G5030,S,329424,0,+40.4683486,-080.0064345,0.0297676310269218,3.49806030000986e-05
162,42,003,562500,3,420035625003,Block Group 3,G5030,S,352995,0,+40.4521930,-080.0509090,0.0432871838064261,3.74751679999198e-05
163,42,003,563000,4,420035630004,Block Group 4,G5030,S,342792,0,+40.4578183,-080.0705756,0.0313182105041267,3.6394492999946e-05
164,42,003,562600,4,420035626004,Block Group 4,G5030,S,260149,0,+40.4440663,-080.0364074,0.0271472044163297,2.76146990000056e-05
165,42,003,552300,3,420035523003,Block Group 3,G5030,S,365537,0,+40.3420643,-079.8481747,0.0326746164113516,3.87438420001372e-05
166,42,003,427000,2,420034270002,Block Group 2,G5030,S,641197,151831,+40.4760308,-079.9727207,0.0628914668029385,8.42191269998038e-05
167,42,003,490002,1,420034900021,Block Group 1,G5030,S,567860,0,+40.2927636,-080.0247229,0.0363565671895021,6.01447864999466e-05
168,42,003,489002,4,420034890024,Block Group 4,G5030,S,1353675,0,+40.3303849,-079.9759909,0.0603475980759322,0.000143452961999933
169,42,003,981000,1,420039810001,Block Group 1,G5030,S,1372534,0,+40.4731010,-079.9488648,0.0666508690909022,0.000145755287500051
170,42,003,110600,2,420031106002,Block Group 2,G5030,S,227775,0,+40.4752841,-079.9162654,0.0215380229589988,2.41891929999365e-05
171,42,003,120400,1,420031204001,Block Group 1,G5030,S,176132,0,+40.4633747,-079.9087836,0.017418439100467,1.87014440000123e-05
172,42,003,515401,3,420035154013,Block Group 3,G5030,S,209305,0,+40.4302582,-079.8946845,0.0225172577588563,2.22128514999798e-05
173,42,003,561600,4,420035616004,Block Group 4,G5030,S,204035,0,+40.4149245,-079.9736036,0.0228589180223333,2.16490705000244e-05
174,42,003,562000,3,420035620003,Block Group 3,G5030,S,232869,0,+40.4481874,-079.9558045,0.0234398731910682,2.47203114998896e-05
175,42,003,562900,3,420035629003,Block Group 3,G5030,S,803514,0,+40.4176307,-079.9441160,0.0548736153491833,8.52591840000681e-05
176,42,003,090200,3,420030902003,Block Group 3,G5030,S,71477,0,+40.4664652,-079.9570577,0.0124084810083718,7.58959750004726e-06
177,42,003,101100,3,420031011003,Block Group 3,G5030,S,249575,0,+40.4818100,-079.9477740,0.0343753411767673,2.65066830000457e-05
178,42,003,140600,3,420031406003,Block Group 3,G5030,S,184852,0,+40.4430458,-079.8953704,0.0198332615684154,1.96214814999943e-05
179,42,003,010300,4,420030103004,Block Group 4,G5030,S,131024,0,+40.4373468,-079.9772866,0.0206524958241219,1.39067894999596e-05
180,42,003,552400,1,420035524001,Block Group 1,G5030,S,211028,0,+40.3368087,-079.8359150,0.022372117268295,2.23651024999474e-05
181,42,003,552400,2,420035524002,Block Group 2,G5030,S,460883,0,+40.3322951,-079.8377395,0.0413240339237305,4.88425335001035e-05
182,42,003,560400,2,420035604002,Block Group 2,G5030,S,138225,0,+40.4417228,-079.8905826,0.0202180907438641,1.46719459999744e-05
183,42,003,431100,1,420034311001,Block Group 1,G5030,S,372765,0,+40.4930095,-080.0495984,0.0295403220415834,3.9597187500036e-05
184,42,003,431100,2,420034311002,Block Group 2,G5030,S,551396,0,+40.4882110,-080.0513499,0.0373736938177772,5.85684289999575e-05
185,42,003,431400,1,420034314001,Block Group 1,G5030,S,687844,0,+40.5029558,-080.0552330,0.0372494276940686,7.30768324999765e-05
186,42,003,431500,2,420034315002,Block Group 2,G5030,S,225625,0,+40.4973132,-080.0541428,0.0199848211880603,2.39687845000328e-05
187,42,003,432300,1,420034323001,Block Group 1,G5030,S,666882,0,+40.5056484,-080.0689177,0.0396250093589881,7.08527834999566e-05
188,42,003,432300,2,420034323002,Block Group 2,G5030,S,219452,0,+40.5013573,-080.0646220,0.0239453952154943,2.33141020000708e-05
189,42,003,564200,2,420035642002,Block Group 2,G5030,S,3434274,124920,+40.3284879,-079.8057761,0.0985322314014636,0.000377149698500023
190,42,003,040900,3,420030409003,Block Group 3,G5030,S,253498,0,+40.4308074,-079.9518013,0.0222356319167012,2.69034335000175e-05
191,42,003,489002,3,420034890023,Block Group 3,G5030,S,942388,0,+40.3245326,-079.9617268,0.0445216398518121,9.98594734999642e-05
192,42,003,562300,5,420035623005,Block Group 5,G5030,S,394539,0,+40.4142957,-079.9369121,0.0376497437071557,4.18617654999497e-05
193,42,003,020100,5,420030201005,Block Group 5,G5030,S,393487,88554,+40.4381256,-079.9968423,0.0376613645817074,5.11639305000816e-05
194,42,003,060300,1,420030603001,Block Group 1,G5030,S,389986,0,+40.4621221,-079.9609470,0.0370302738104658,4.14077695000049e-05
195,42,003,160800,1,420031608001,Block Group 1,G5030,S,122315,0,+40.4229708,-079.9707725,0.0159461694820288,1.29795689999553e-05
196,42,003,432400,3,420034324003,Block Group 3,G5030,S,350871,191084,+40.4951159,-080.0667092,0.0431305316801785,5.75728210000995e-05
197,42,003,434000,1,420034340001,Block Group 1,G5030,S,447588,0,+40.5065702,-080.0782814,0.031141444578966,4.7554986500059e-05
198,42,003,434000,2,420034340002,Block Group 2,G5030,S,533862,204393,+40.5057991,-080.0841962,0.0491224839250796,7.84357359998613e-05
199,42,003,435000,1,420034350001,Block Group 1,G5030,S,822807,0,+40.5135198,-080.0948988,0.0644014150723468,8.74291604999686e-05
200,42,003,435000,2,420034350002,Block Group 2,G5030,S,649965,318264,+40.5106161,-080.1014648,0.0544598814340639,0.000102875012499931
201,42,003,290400,3,420032904003,Block Group 3,G5030,S,275843,0,+40.3844190,-079.9867635,0.0375524437226462,2.92551634999194e-05
202,42,003,564400,7,420035644007,Block Group 7,G5030,S,486491,0,+40.3813996,-079.7703735,0.0383737893075303,5.15931279999287e-05
203,42,003,515401,1,420035154011,Block Group 1,G5030,S,261232,0,+40.4243138,-079.8924130,0.0309088131608567,2.77215879999862e-05
